Value.element_type,Value.first_name,Value.id,Value.now_cost,Value.points_per_game,Value.selected_by_percent,Value.team,Value.total_points,Value.web_name,Value.minutes,Value.goals_scored,Value.assists,Value.clean_sheets,Value.goals_conceded,Value.own_goals,Value.penalties_saved,Value.penalties_missed,Value.yellow_cards,Value.red_cards,Value.saves,Value.bonus,Value.bps,Value.influence,Value.creativity,Value.threat,Value.ict_index,Value.starts,Value.expected_goals,Value.expected_assists,Value.expected_goal_involvements,Value.expected_goals_conceded,Value.influence_rank,Value.influence_rank_type,Value.creativity_rank,Value.creativity_rank_type,Value.threat_rank,Value.threat_rank_type,Value.ict_index_rank,Value.ict_index_rank_type,Value.expected_goals_per_90,Value.saves_per_90,Value.expected_assists_per_90,Value.expected_goal_involvements_per_90,Value.expected_goals_conceded_per_90,Value.goals_conceded_per_90,Value.now_cost_rank,Value.now_cost_rank_type,Value.points_per_game_rank,Value.points_per_game_rank_type,Value.selected_rank,Value.selected_rank_type,Value.clean_sheets_per_90
3,João,280,5,2.4,0.6,10,83,J.Palhinha,3108,3,0,9,43,1,0,0,14,0,0,5,379,570.2,142.8,338,105.5,35,2.93,0.39,3.32,56.38,79,36,187,116,93,63,108,70,0.08,0,0.01,0.09,1.63,1.25,188,120,205,79,230,75,0.26
3,Jefferson,231,5,2.7,0.4,8,101,Lerma,3252,5,0,7,67,1,0,0,7,0,0,5,500,619.2,296.4,312,122.7,37,2.58,3,5.58,60.57,66,31,107,79,99,67,83,58,0.07,0,0.08,0.15,1.68,1.85,186,118,173,69,267,83,0.19
3,Josh,99,5,2.2,0.4,4,81,Dasilva,1371,4,2,5,17,0,0,0,1,0,0,3,274,305.8,208.5,182,69.6,14,1.58,1.62,3.2,17.89,184,85,145,96,155,100,183,96,0.1,0,0.11,0.21,1.17,1.12,207,136,220,86,277,88,0.33
3,Anass,184,5,0,0.4,6,0,Zaroury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,242,565,242,562,242,565,242,0,0,0,0,0,0,269,175,565,242,280,90,0
2,Marc,198,5,2.7,0.4,7,65,Cucurella,1669,0,2,6,20,0,0,0,4,0,0,1,363,354.4,232.5,72,65.9,21,0.38,0.96,1.34,26.03,171,63,129,29,249,85,191,59,0.02,0,0.05,0.07,1.4,1.08,203,23,174,63,270,91,0.32
2,Aymeric,357,5,3.3,0.4,13,40,Laporte,992,0,0,4,10,0,0,0,0,0,0,3,210,183,111.2,73,36.6,11,0.49,0.44,0.93,11.77,252,100,218,66,247,83,266,94,0.04,0,0.04,0.08,1.07,0.91,182,22,108,29,281,95,0.36
3,Sander,475,5,0,0.3,17,0,Berge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,238,554,238,552,238,556,238,0,0,0,0,0,0,221,145,556,238,315,99,0
3,Jacob,423,5,2.2,0.3,15,78,Murphy,1230,4,2,3,12,0,0,0,0,0,0,2,240,275,302.5,410,98.9,14,3.46,2.95,6.41,16.13,206,91,105,78,72,51,118,75,0.25,0,0.22,0.47,1.18,0.88,175,113,219,85,320,100,0.22
3,Matheus Luiz,566,5,2.4,0.3,20,80,Matheus N.,2467,1,1,11,38,0,0,0,2,1,0,5,338,371.4,406.6,314,109.3,30,2.41,1.38,3.79,41.19,164,72,74,59,98,66,99,65,0.09,0,0.05,0.14,1.5,1.39,265,172,206,80,327,103,0.4
3,Mahmoud,128,5,0,0.2,5,0,Dahoud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,231,544,231,542,231,546,231,0,0,0,0,0,0,198,129,546,231,368,110,0
3,Harvey,295,5,1.9,0.2,11,62,Elliott,1600,1,2,5,20,0,0,0,2,0,0,2,286,269,406.1,378,105.5,18,2.12,4.31,6.43,26.07,211,95,75,60,84,58,109,71,0.12,0,0.24,0.36,1.47,1.12,259,167,268,112,369,111,0.28
3,Jaidon,62,5,2,0.2,3,61,Anthony,1241,3,1,2,29,0,0,0,2,0,0,4,193,308.6,209.3,263,78.1,11,1.69,1.1,2.79,26.14,183,84,143,95,118,75,156,89,0.12,0,0.08,0.2,1.9,2.1,258,166,259,104,372,112,0.15
3,Sean,421,5,2.8,0.2,15,93,Longstaff,2514,1,5,13,18,0,0,0,2,0,0,2,347,385.2,372,408,116.8,28,3.3,2.57,5.87,27.57,154,67,85,65,74,52,92,63,0.12,0,0.09,0.21,0.99,0.64,205,134,163,65,386,115,0.47
3,James,142,5,1.4,0.2,5,42,Milner,889,0,1,3,12,0,0,0,2,0,0,0,187,179.6,222.7,93,49.5,7,0.4,1.63,2.03,13.56,254,111,138,92,223,120,228,108,0.04,0,0.17,0.21,1.37,1.21,138,88,326,142,391,117,0.3
2,Joel,305,5,2.6,0.3,11,36,Matip,1091,1,0,3,20,1,0,0,3,0,0,4,216,232.8,61.9,102,39.6,12,0.87,0.93,1.8,16.46,225,85,269,96,218,67,259,91,0.07,0,0.08,0.15,1.36,1.65,153,16,182,70,339,119,0.25
3,Thomas,15,5,2.6,0.2,1,86,Thomas,2480,3,0,11,28,0,0,0,5,0,0,6,468,526.6,444.1,242,121.5,28,2.59,2.17,4.76,32.27,92,41,62,53,124,79,86,60,0.09,0,0.08,0.17,1.17,1.02,195,126,184,72,397,120,0.4
3,Amadou,261,5,2.3,0.2,9,77,Onana,2486,1,3,9,37,0,0,0,9,0,0,2,300,358.2,316.6,287,96,29,2.95,1.66,4.61,47.89,170,75,100,75,106,69,123,77,0.11,0,0.06,0.17,1.73,1.34,263,171,212,83,398,121,0.33
3,Luke,317,5,0,0.2,12,0,Berry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,226,538,226,533,225,541,226,0,0,0,0,0,0,158,101,541,226,410,125,0
3,Curtis,300,5,2.9,0.2,11,52,Jones,1029,3,1,4,15,0,0,0,2,0,0,4,206,272.8,238.1,240,75,12,1.15,1.36,2.51,15.6,207,92,128,87,126,81,166,92,0.1,0,0.12,0.22,1.36,1.31,220,144,151,61,421,127,0.35
3,Thiago,310,5,1.7,0.2,11,30,Thiago,1252,0,0,2,23,0,0,0,2,0,0,0,194,244.4,265.8,86,59.8,14,0.46,1.18,1.64,21.41,218,100,117,81,229,121,202,99,0.03,0,0.08,0.11,1.54,1.65,154,97,291,124,423,128,0.14
3,Jordan,320,5,0,0.2,12,0,Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,227,539,227,534,226,542,227,0,0,0,0,0,0,166,107,542,227,425,129,0
3,Frederico,381,5,1.8,0.2,14,62,Fred,1228,2,3,4,22,0,0,0,6,0,0,2,272,316.2,393.7,225,93.4,12,2.03,1.77,3.8,21.86,177,79,79,63,135,87,127,78,0.15,0,0.13,0.28,1.6,1.61,168,108,278,116,432,131,0.29
3,Pablo,570,5,2.1,0.2,20,27,Sarabia,764,1,0,3,9,0,0,0,3,0,0,3,57,92,184.7,157,43,9,2.99,0.89,3.88,13.37,300,133,156,100,168,105,250,118,0.35,0,0.1,0.45,1.58,1.06,161,103,234,93,436,134,0.35
3,Jeffrey,240,5,2.6,0.1,8,89,Schlupp,2528,3,2,9,38,0,0,0,7,0,0,2,324,404.6,257.6,314,97.9,30,2.97,1.11,4.08,37.03,144,62,123,85,97,65,120,76,0.11,0,0.04,0.15,1.32,1.35,160,102,183,71,456,141,0.32
3,Yves,493,5,1.2,0.1,18,27,Bissouma,998,0,0,1,20,0,0,0,6,0,0,0,176,129.8,137,24,29,10,0.17,0.37,0.54,13.91,280,121,191,118,309,154,287,134,0.02,0,0.03,0.05,1.25,1.8,238,154,347,156,460,143,0.09
3,Facundo,125,5,2,0.1,5,26,Buonanotte,558,1,1,1,12,0,0,0,2,0,0,2,72,90,100.9,102,28.5,6,1.3,0.39,1.69,11.93,304,135,231,130,219,118,289,136,0.21,0,0.06,0.27,1.92,1.94,275,179,261,106,463,146,0.16
3,Sergi,95,5,1,0.1,4,5,Canós,73,0,0,0,2,0,0,0,0,0,0,0,14,7,13.5,6,2.8,0,0.07,0.04,0.11,1.79,367,168,326,163,334,164,362,165,0.09,0,0.05,0.14,2.21,2.47,202,132,376,175,466,147,0
3,Fabio Henrique,296,5,1.9,0.1,11,70,Fabinho,2666,0,2,11,34,0,0,0,11,0,0,0,394,400.2,316.4,109,82.5,31,0.7,1.87,2.57,39.21,147,64,101,76,213,117,145,85,0.02,0,0.06,0.08,1.32,1.15,177,114,265,109,468,148,0.37
3,Mikkel,98,5,1.3,0.1,4,33,Damsgaard,970,0,0,3,14,0,0,0,4,0,0,0,131,140.2,172.1,152,46.5,9,2.31,1.32,3.63,14.89,274,118,169,107,174,109,240,114,0.21,0,0.12,0.33,1.38,1.3,255,165,341,152,469,149,0.28
3,Cheick,223,5,2.2,0.1,8,74,C.Doucouré,2770,0,3,7,41,0,0,0,8,1,0,3,411,475,353.7,167,99.8,34,1.45,1.22,2.67,40.18,111,52,90,67,164,103,117,74,0.05,0,0.04,0.09,1.31,1.33,254,164,223,89,476,154,0.23
3,Pablo,534,5,2.2,0.1,19,71,P.Fornals,1493,3,1,1,28,0,0,0,0,0,0,6,282,272,317.9,212,79.9,17,2.13,2.01,4.14,25.06,210,94,99,74,141,92,152,88,0.13,0,0.12,0.25,1.51,1.69,228,149,221,87,477,155,0.06
3,Jordan,299,5,2,0.1,11,69,Henderson,2060,0,3,8,30,0,0,0,2,0,0,0,401,315.2,525.8,185,103,23,1.35,3.59,4.93,31.96,179,81,49,41,153,99,111,72,0.06,0,0.16,0.22,1.4,1.31,149,95,253,98,479,157,0.35
3,Oliver,488,5,0,0.1,17,0,Norwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,225,537,225,532,224,540,225,0,0,0,0,0,0,156,99,540,225,484,158,0
3,Scott,180,5,0,0.1,6,0,Twine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,241,561,241,559,241,562,241,0,0,0,0,0,0,235,152,562,241,485,159,0
3,Allan,319,5,0,0.1,12,0,Campbell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,235,550,235,548,235,552,235,0,0,0,0,0,0,210,138,552,235,490,162,0
3,Dango,78,5,2.6,0.1,3,49,O.Dango,1239,1,3,1,23,0,0,0,1,0,0,4,163,280.8,262.5,283,82.5,15,3.52,1.68,5.2,25.86,201,90,119,82,110,72,146,86,0.26,0,0.12,0.38,1.88,1.67,272,176,186,73,491,163,0.07
3,David,64,5,0.8,0.1,3,5,Brooks,170,0,0,0,4,0,0,0,1,0,0,0,7,17.6,28.8,42,8.7,2,0.33,0.2,0.53,4.4,353,158,303,154,287,144,336,154,0.17,0,0.11,0.28,2.33,2.12,174,112,386,180,492,164,0
3,Billy,133,5,1.5,0.1,5,21,Gilmour,502,0,1,2,8,0,0,0,1,0,0,0,105,67.6,56.5,33,15.8,7,0.5,0.8,1.3,9.35,321,142,275,145,294,148,319,148,0.09,0,0.14,0.23,1.68,1.43,244,157,316,137,495,167,0.36
3,Stefan,292,5,2,0.1,11,22,Bajcetic,522,1,0,3,4,0,0,0,2,0,0,0,85,90.2,61.7,77,22.8,6,0.79,0.47,1.26,6.8,302,134,271,143,242,127,302,139,0.14,0,0.08,0.22,1.17,0.69,274,178,260,105,497,168,0.52
3,Boubacar,47,5,1.8,0.1,2,44,Kamara,1773,0,1,3,30,0,0,0,4,0,0,0,235,288.2,124.7,43,45.7,21,0.15,0.92,1.07,33.05,195,87,199,120,285,143,241,115,0.01,0,0.05,0.06,1.68,1.52,237,153,281,119,498,169,0.15
3,Jóhann Berg,170,5,0,0.1,6,0,Gudmundsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,224,536,224,531,223,539,224,0,0,0,0,0,0,151,96,539,224,500,171,0
3,Dele,248,5,1,0.1,9,2,Dele,38,0,0,0,1,0,0,0,0,0,0,0,5,0.6,2.2,6,0.9,0,0,0,0,1.68,379,176,344,169,333,163,374,172,0,0,0,0,3.98,2.37,171,110,374,173,502,173,0
3,Leander,40,5,1.5,0.1,2,37,Dendoncker,897,0,0,4,14,0,0,0,0,0,0,0,163,143.4,96.1,64,30.6,9,0.72,0.14,0.86,14.68,273,117,235,131,256,132,281,131,0.07,0,0.01,0.08,1.47,1.4,185,117,314,135,504,175,0.4
3,Josh,165,5,0,0.1,6,0,Cullen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,232,545,232,543,232,547,232,0,0,0,0,0,0,199,130,547,232,507,178,0
3,Bertrand,59,5,2.5,0.1,2,20,Bertrand Traoré,226,2,0,1,1,0,0,0,1,0,0,1,57,82,30.7,79,19,1,0.75,0.12,0.87,1.65,309,138,300,152,239,124,310,142,0.3,0,0.05,0.35,0.66,0.4,173,111,196,76,509,180,0.4
3,Scott,392,5,1.5,0.1,14,36,McTominay,1149,1,0,4,20,0,0,0,8,0,0,2,146,247,123.2,156,52.2,10,1.96,0.99,2.95,22.38,216,98,201,121,170,106,220,104,0.15,0,0.08,0.23,1.75,1.57,213,140,315,136,511,182,0.31
3,John,481,5,0,0.1,17,0,Fleck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,222,534,222,529,221,537,222,0,0,0,0,0,0,143,91,537,222,512,183,0
3,Nicolas,16,5,0,0.1,1,0,Pepe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,236,552,236,550,236,554,236,0,0,0,0,0,0,212,139,554,236,513,184,0
3,Giovani,503,5,0,0.1,18,0,Lo Celso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,237,553,237,551,237,555,237,0,0,0,0,0,0,215,142,555,237,515,186,0
3,Adam,138,5,2.9,0.1,5,47,Lallana,717,2,1,5,10,0,0,0,0,0,0,4,146,144.2,186.7,152,48.5,12,0.88,1.22,2.1,10.59,272,116,153,99,173,108,233,111,0.11,0,0.15,0.26,1.33,1.26,140,89,149,59,516,187,0.63
3,Simon,122,5,0,0.1,5,0,Adingra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,243,567,243,564,243,567,243,0,0,0,0,0,0,273,177,567,243,519,189,0
3,Fred,329,5,0,0.1,12,0,Onyedinma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,230,543,230,541,230,545,230,0,0,0,0,0,0,197,128,545,230,520,190,0
3,Samuel,158,5,0,0.1,6,0,Bastien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,234,549,234,547,234,551,234,0,0,0,0,0,0,209,137,551,234,521,191,0
3,Hamed,87,5,2,0.1,3,14,Hamed Traorè,425,0,0,2,8,0,0,0,0,0,0,0,60,84,218.5,36,33.8,5,1.04,1.15,2.19,9.94,307,137,141,94,293,147,271,125,0.22,0,0.24,0.46,2.1,1.69,248,160,258,103,525,195,0.42
3,Ryan,65,5,2,0.1,3,64,Christie,1825,1,2,3,35,0,0,0,2,0,0,2,225,284.2,423.5,402,111.1,22,2.89,2.07,4.96,30.87,199,89,67,55,77,54,97,64,0.14,0,0.1,0.24,1.52,1.73,193,124,256,101,526,196,0.15
3,Kalvin,364,5,1.2,0.1,13,14,Phillips,291,0,0,1,3,0,0,0,1,0,0,0,68,50,54.4,22,12.7,2,0.28,0.11,0.39,5.05,336,149,279,147,310,155,326,150,0.09,0,0.03,0.12,1.56,0.93,190,121,346,155,527,197,0.31
3,João Victor,559,5,1.9,0.1,20,21,João Gomes,649,1,0,2,18,0,0,0,5,0,0,2,84,139.8,74.3,46,25.8,7,0.3,0.11,0.41,14.35,275,119,258,137,282,141,298,137,0.04,0,0.02,0.06,1.99,2.5,261,169,269,113,528,198,0.28
3,Oliver,515,5,1.9,0.1,18,43,Skipp,1489,1,0,4,28,0,0,0,7,0,0,1,199,222.4,157.5,52,43.4,18,0.29,0.41,0.7,22.65,231,101,177,110,272,137,249,117,0.02,0,0.02,0.04,1.37,1.69,222,146,267,111,529,199,0.24
3,Ryan,470,5,2,0.1,16,53,Yates,1833,0,3,5,36,0,0,0,5,0,0,0,177,215,103.3,233,54.5,21,1.99,0.43,2.42,29.34,236,104,226,128,132,84,217,103,0.1,0,0.02,0.12,1.44,1.77,218,143,257,102,530,200,0.25
3,James,250,5,1.6,0.1,9,25,Garner,796,0,1,2,13,0,0,0,3,0,0,0,109,109.2,116.2,64,29.2,7,0.7,0.5,1.2,15.66,290,127,212,123,257,133,285,133,0.08,0,0.06,0.14,1.77,1.47,242,155,302,129,533,203,0.23
3,Tom,268,5,1.6,0.1,10,53,Cairney,968,2,1,1,13,0,0,0,2,0,0,2,217,190.4,232.1,217,64.2,6,1.44,1.51,2.95,19.69,248,108,130,88,139,91,193,97,0.13,0,0.14,0.27,1.83,1.21,155,98,300,127,534,204,0.09
3,Jack,163,5,0,0.1,6,0,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,221,533,221,528,220,536,221,0,0,0,0,0,0,141,90,536,221,536,206,0
3,Callum,205,5,0,0.1,7,0,Hudson-Odoi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,239,555,239,553,239,557,239,0,0,0,0,0,0,223,147,557,239,538,208,0
3,Anthony,378,5,1.4,0.1,14,23,Elanga,417,0,1,2,2,0,0,0,0,0,0,0,53,52.4,78.8,162,28.7,5,0.65,0.98,1.63,4.79,334,148,253,135,166,104,288,135,0.14,0,0.21,0.35,1.03,0.43,262,170,331,146,539,209,0.43
3,Luke,322,5,0,0.1,12,0,Freeman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,223,535,223,530,222,538,223,0,0,0,0,0,0,144,92,538,223,540,210,0
3,Ryan,410,5,1.4,0.1,15,11,Fraser,308,0,0,1,3,0,0,0,1,0,0,0,39,26.8,74,70,17.2,3,0.31,0.25,0.56,3.34,349,156,259,138,251,131,314,144,0.09,0,0.07,0.16,0.98,0.88,163,105,327,143,541,211,0.29
3,Frank,111,5,1.8,0.1,4,38,Onyeka,837,0,3,3,11,0,0,0,0,0,0,0,111,136.4,93.7,111,34.2,8,1.03,0.78,1.81,15.65,278,120,238,132,212,116,270,124,0.11,0,0.08,0.19,1.68,1.18,249,161,282,120,542,212,0.32
3,Idrissa,254,5,2,0.1,9,66,Gana,2577,0,1,8,45,0,0,0,7,0,0,1,357,426.8,195.3,85,70.6,32,0.71,0.83,1.54,49.99,129,57,151,98,230,122,182,95,0.02,0,0.03,0.05,1.75,1.57,157,100,254,99,543,213,0.28
3,Cole,362,5,1.4,0.1,13,19,Palmer,358,0,1,1,4,0,0,0,1,0,0,0,76,73,88.7,155,31.9,2,0.36,0.49,0.85,7.13,315,140,242,133,171,107,276,128,0.09,0,0.12,0.21,1.79,1.01,245,158,329,144,545,215,0.25
3,Jonjo,463,5,1.5,0.1,16,16,Shelvey,573,0,0,1,11,0,0,0,2,0,0,0,67,55.6,102.1,11,16.3,6,0.19,0.66,0.85,11.62,328,144,229,129,321,159,316,146,0.03,0,0.1,0.13,1.83,1.73,145,93,311,133,546,216,0.16
3,Donny,400,5,1.1,0,14,8,Van de Beek,162,0,0,0,3,0,0,0,0,0,0,0,21,11.2,40.2,54,10.5,2,0.1,0.14,0.24,1.58,361,162,287,150,271,136,334,153,0.06,0,0.08,0.14,0.88,1.67,206,135,349,157,548,218,0
3,Mario,565,5,1.8,0,20,35,Lemina,1297,0,1,5,28,0,0,0,2,1,0,0,196,216.4,66.3,36,31.8,17,0.25,0.46,0.71,27.88,234,102,265,139,292,146,277,129,0.02,0,0.03,0.05,1.93,1.94,184,116,279,117,554,224,0.35
3,Flynn,531,5,1.3,0,19,27,Downes,752,0,0,1,14,0,0,0,2,0,0,0,104,68.2,42.8,51,16,7,0.43,0.11,0.54,13.53,320,141,284,149,273,138,317,147,0.05,0,0.01,0.06,1.62,1.68,229,150,340,151,555,225,0.12
3,Bryan,494,5,2.2,0,18,9,Bryan,146,0,1,1,1,0,0,0,1,0,0,0,22,30.4,27.5,27,8.5,2,0.1,0.08,0.18,0.9,346,154,304,155,304,152,338,156,0.06,0,0.05,0.11,0.55,0.62,252,162,222,88,557,227,0.62
3,Orel,453,5,1.9,0,16,50,Mangala,1543,1,1,5,24,0,0,0,3,0,0,0,190,199.4,62,75,33.6,20,0.57,0.7,1.27,29.46,244,106,268,141,245,128,273,126,0.03,0,0.04,0.07,1.72,1.4,204,133,266,110,558,228,0.29
3,Ivan,269,5,0,0,10,0,I.Cavaleiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,228,541,228,539,228,543,228,0,0,0,0,0,0,194,125,543,228,559,229,0
3,Keane,107,5,1.4,0,4,14,Lewis-Potter,313,0,1,0,4,0,0,0,0,0,0,0,37,42,64,114,21.9,3,0.49,0.29,0.78,4.15,339,151,267,140,204,113,303,140,0.14,0,0.08,0.22,1.19,1.15,247,159,330,145,560,230,0
3,Ben,489,5,0,0,17,0,Osborn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,229,542,229,540,229,544,229,0,0,0,0,0,0,196,127,544,229,563,233,0
3,Cheikhou,451,5,1.7,0,16,35,Kouyaté,871,1,0,2,23,0,0,0,3,0,0,2,144,162.4,83.1,81,32.6,10,0.36,0.33,0.69,17.06,259,112,248,134,236,123,275,127,0.04,0,0.03,0.07,1.76,2.38,148,94,290,123,564,234,0.21
3,Remo,446,5,1.9,0,16,54,Freuler,2157,0,0,6,47,0,0,0,4,0,0,0,267,272.2,174.7,54,50.3,24,0.42,0.79,1.21,41.93,208,93,166,105,270,135,227,107,0.02,0,0.03,0.05,1.75,1.96,162,104,264,108,565,235,0.25
3,Lewis,66,5,1.8,0,3,51,L.Cook,1712,0,2,3,39,0,0,0,4,0,0,1,280,313,352.5,45,71.2,18,0.24,2.3,2.54,32.09,180,82,92,69,283,142,181,94,0.01,0,0.12,0.13,1.69,2.05,191,122,280,118,566,236,0.16
3,Will,229,5,1.5,0,8,41,Hughes,822,1,1,1,11,0,0,0,4,0,0,3,152,190.4,107.4,78,37.4,7,0.34,0.63,0.97,13.05,249,109,224,127,241,126,265,123,0.04,0,0.07,0.11,1.43,1.2,170,109,312,134,567,237,0.11
3,Jamal,73,5,1,0,3,2,Lowe,11,0,0,0,0,0,0,0,0,0,0,0,6,0.2,0.3,0,0.1,0,0,0.01,0.01,0.62,381,177,358,177,537,227,383,177,0,0,0.08,0.08,5.07,0,180,115,375,174,568,238,0
3,Joe,81,5,1.6,0,3,33,Rothwell,1010,0,1,3,15,0,0,0,1,0,0,0,167,127.4,153.3,27,30.6,12,0.16,1.47,1.63,17.29,282,122,178,111,303,151,282,132,0.01,0,0.13,0.14,1.54,1.34,192,123,301,128,569,239,0.27
3,Lewis,458,5,1.7,0,16,22,O'Brien,578,1,0,1,14,0,0,0,2,0,0,0,88,107.8,56.4,47,21.1,6,0.34,0.19,0.53,14.13,291,128,276,146,278,140,306,141,0.05,0,0.03,0.08,2.2,2.18,243,156,292,125,571,241,0.16
3,Albert,21,5,1.5,0,1,23,Sambi,728,0,0,2,8,0,0,0,2,0,0,0,129,98.4,57.2,20,17.6,8,0.17,0.18,0.35,8.12,295,131,274,144,314,156,313,143,0.02,0,0.02,0.04,1,0.99,253,163,317,138,572,242,0.25
3,Reiss,578,5,3.8,0,1,42,Nelson,202,3,3,1,3,0,0,0,0,0,0,5,127,179.8,121.9,178,48,0,1.09,0.99,2.08,2.16,253,110,203,122,157,101,234,112,0.49,0,0.44,0.93,0.96,1.34,214,141,63,27,579,246,0.45
1,Jordan,263,4.5,3.4,16.2,9,124,Pickford,3330,0,1,8,57,0,1,0,6,0,124,10,666,997.8,23,0,102,37,0,0.35,0.35,66.41,9,3,310,1,445,52,113,3,0,3.35,0.01,0.01,1.79,1.54,316,19,102,21,24,3,0.22
2,Sven,405,4.5,3.6,30.9,15,129,Botman,3127,0,2,13,30,0,0,0,2,0,0,8,666,583,120.3,303,101,35,2.75,1.09,3.84,38,74,20,207,60,101,8,114,23,0.08,0,0.03,0.11,1.09,0.86,385,105,79,20,9,5,0.37
1,Bernd,275,4.5,3.9,11.2,10,142,Leno,3240,0,0,8,51,0,1,0,3,0,144,17,766,1154.8,10,0,116.6,36,0,0,0,62.75,3,1,335,8,436,49,93,2,0,4,0,0,1.74,1.42,295,16,51,11,37,7,0.22
2,Tyrone,51,4.5,3.7,16.7,2,130,Mings,3150,1,3,12,40,1,0,0,7,0,0,17,617,664.4,88.2,121,87.8,35,0.96,0.95,1.91,47.28,53,13,243,80,197,53,136,32,0.03,0,0.03,0.06,1.35,1.14,327,66,69,15,23,9,0.34
4,Sam,464,4.5,1.3,10.3,16,26,Surridge,306,1,0,0,5,0,0,0,2,0,0,3,61,61.4,16.2,92,15.9,1,1.71,0.02,1.73,8.6,325,34,323,38,224,35,318,35,0.5,0,0.01,0.51,2.53,1.47,382,59,336,38,42,9,0
1,Jason,148,4.5,4.3,6.9,5,65,Steele,1350,0,1,6,23,1,1,0,1,0,37,8,332,377.6,13,0,39.1,15,0,0.15,0.15,23.46,159,17,331,6,433,46,261,17,0,2.47,0.01,0.01,1.56,1.53,283,13,26,6,54,10,0.4
1,Robert,145,4.5,3.6,5.3,5,82,Sanchez,2070,0,0,6,30,0,1,0,2,0,48,10,380,439,0.1,0,43.9,23,0,0.01,0.01,27.6,122,16,361,9,469,56,247,16,0,2.09,0,0,1.2,1.3,378,23,78,15,66,12,0.26
4,John,324,4.5,0,5.3,12,0,McAtee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,49,501,49,493,51,505,51,0,0,0,0,0,0,424,65,506,51,65,12,0
1,Lukasz,533,4.5,3.5,3.3,19,127,Fabianski,3111,0,0,9,48,0,1,0,1,0,109,10,622,772,0,0,77,36,0,0,0,45.55,27,7,445,53,430,44,160,7,0,3.15,0,0,1.32,1.39,277,11,90,18,91,14,0.26
4,Cameron,33,4.5,1,5.2,2,6,Archer,43,0,0,0,1,0,0,0,0,0,0,0,13,1.8,2.4,6,0.9,0,0,0.01,0.01,0.37,374,40,343,40,331,42,372,41,0,0,0.02,0.02,0.77,2.09,430,66,366,39,70,14,0
1,Mark,101,4.5,0,2.4,4,0,Flekken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,63,459,59,447,53,464,63,0,0,0,0,0,0,323,20,467,63,107,16,0
1,Dean,385,4.5,4.6,2.1,14,82,Henderson,1620,0,0,6,31,0,2,0,2,0,54,12,367,474.4,0,0,47.5,18,0,0.01,0.01,26.97,112,15,468,61,458,55,236,15,0,3,0,0,1.5,1.72,344,22,17,3,117,18,0.33
3,Shandon,92,4.5,1.3,5.9,4,29,Baptiste,600,0,2,1,6,0,0,0,1,1,0,0,123,112.8,144.5,54,31.2,4,0.32,0.53,0.85,7.51,288,126,186,115,269,134,279,130,0.05,0,0.08,0.13,1.13,0.9,426,213,337,148,61,19,0.15
1,Bart,152,4.5,0,1.8,5,0,Verbruggen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,66,520,63,515,58,524,66,0,0,0,0,0,0,466,25,524,66,127,19,0
1,Vicente,227,4.5,3.7,1.6,8,99,Guaita,2430,0,0,6,34,0,0,0,1,0,85,10,484,668.4,0,0,66.8,27,0,0.01,0.01,38.2,51,12,446,54,431,45,189,12,0,3.15,0,0,1.41,1.26,279,12,68,14,136,20,0.22
