Value.element_type,Value.first_name,Value.id,Value.now_cost,Value.points_per_game,Value.selected_by_percent,Value.team,Value.total_points,Value.web_name,Value.minutes,Value.goals_scored,Value.assists,Value.clean_sheets,Value.goals_conceded,Value.own_goals,Value.penalties_saved,Value.penalties_missed,Value.yellow_cards,Value.red_cards,Value.saves,Value.bonus,Value.bps,Value.influence,Value.creativity,Value.threat,Value.ict_index,Value.starts,Value.expected_goals,Value.expected_assists,Value.expected_goal_involvements,Value.expected_goals_conceded,Value.influence_rank,Value.influence_rank_type,Value.creativity_rank,Value.creativity_rank_type,Value.threat_rank,Value.threat_rank_type,Value.ict_index_rank,Value.ict_index_rank_type,Value.expected_goals_per_90,Value.saves_per_90,Value.expected_assists_per_90,Value.expected_goal_involvements_per_90,Value.expected_goals_conceded_per_90,Value.goals_conceded_per_90,Value.now_cost_rank,Value.now_cost_rank_type,Value.points_per_game_rank,Value.points_per_game_rank_type,Value.selected_rank,Value.selected_rank_type,Value.clean_sheets_per_90
4,Julián,343,6.5,3.3,2.4,13,103,J.Alvarez,1448,9,3,5,16,0,0,0,0,0,0,14,393,434.2,286.5,569,129,13,6.79,1.63,8.42,17.14,125,11,110,9,46,15,74,12,0.42,0,0.1,0.52,1.07,0.99,52,18,111,15,103,21,0.31
3,Miguel,402,6.5,4.6,5.1,15,158,Almirón,2487,11,4,15,22,0,0,0,2,0,0,15,511,611.8,426.4,892,193.3,29,8.03,3,11.03,28.35,67,32,65,54,21,12,34,25,0.29,0,0.11,0.4,1.03,0.8,47,28,18,8,71,22,0.54
4,Taiwo,437,6.5,3.7,1.9,16,100,Awoniyi,1395,10,1,5,29,0,0,0,2,0,0,16,320,416.2,140.1,405,95.6,17,6.86,0.29,7.15,26.43,135,12,189,22,75,21,124,18,0.44,0,0.02,0.46,1.71,1.87,48,17,77,12,122,24,0.32
3,Pascal,134,6.5,4.3,4.3,5,159,Gross,3240,9,8,11,51,1,0,0,7,0,0,14,748,918.6,1227.5,582,273.2,37,5.19,8.93,14.12,48.43,13,5,5,3,43,30,11,8,0.14,0,0.25,0.39,1.35,1.42,40,25,29,12,77,25,0.31
2,Andrew,307,6.5,3.6,3.9,11,121,Robertson,2579,0,8,9,34,0,0,0,3,0,0,10,633,549.2,862.1,211,162.3,29,1.24,6.69,7.93,36.59,85,28,15,3,142,20,51,6,0.04,0,0.23,0.27,1.28,1.19,43,3,85,22,80,27,0.31
3,Bernardo,344,6.5,3.1,3.4,13,106,Bernardo,2196,4,6,7,24,0,0,0,5,0,0,9,427,492,515,424,143.1,24,2.09,3.83,5.92,23.24,103,47,50,42,71,50,67,49,0.09,0,0.16,0.25,0.95,0.98,46,27,130,54,88,31,0.29
3,Solly,140,6.5,4.5,3.3,5,147,March,2719,6,10,10,40,0,0,0,2,0,0,16,559,791.8,965.8,955,271.4,31,7.01,5.9,12.91,37.58,24,10,11,9,17,8,12,9,0.23,0,0.2,0.43,1.24,1.32,42,26,19,9,90,32,0.33
4,Anthony,390,6.5,3.1,0.8,14,66,Martial,970,6,3,7,8,0,0,0,0,0,0,4,230,305.6,179.5,376,85.5,11,6.03,1.46,7.49,13.57,186,19,162,19,85,22,140,20,0.56,0,0.14,0.7,1.26,0.74,44,15,129,16,199,38,0.65
3,Mykhailo,210,6.5,1.7,1.6,7,25,Mudryk,650,0,2,0,10,0,0,0,1,0,0,0,73,100.8,146.4,140,38.2,7,1.82,1.26,3.08,10.88,292,129,184,114,184,110,263,122,0.25,0,0.17,0.42,1.51,1.38,53,32,294,126,138,52,0
4,Pierre-Emerick,188,6.5,1.7,0.3,7,25,Aubameyang,546,1,0,1,8,0,0,0,1,0,0,3,61,55,59.4,177,28.5,5,1.53,0.18,1.71,8.66,330,35,273,33,160,31,290,33,0.25,0,0.03,0.28,1.43,1.32,39,14,293,32,298,57,0.16
4,Evan,132,6,3.4,13.9,5,65,Ferguson,942,6,2,6,12,0,0,0,1,0,0,8,213,286.2,150.4,361,79.9,10,5.44,0.54,5.98,13.45,196,20,180,21,90,25,153,21,0.52,0,0.05,0.57,1.29,1.15,77,25,104,13,32,6,0.57
3,Alexis,304,6,4,15.6,11,140,Mac Allister,2882,10,2,10,45,1,0,0,8,0,0,18,567,750.8,746.4,714,221.3,31,12.05,4.27,16.32,40.48,30,13,25,20,29,18,24,17,0.38,0,0.13,0.51,1.26,1.41,75,46,49,21,25,9,0.31
2,Virgil,313,6,4,8.3,11,127,Virgil,2835,3,1,11,36,0,0,0,3,0,0,13,636,743.2,121,389,125.4,32,2.5,1.09,3.59,41.17,32,7,204,57,82,5,79,11,0.08,0,0.03,0.11,1.31,1.14,60,4,48,8,47,14,0.35
4,Yoane,119,6,2.9,3.2,4,111,Wissa,1587,7,4,7,17,0,0,0,3,0,0,6,292,366.2,185.3,424,96.8,16,5.65,1.08,6.73,21.64,165,16,155,17,70,19,122,17,0.32,0,0.06,0.38,1.23,0.96,70,24,155,18,93,17,0.4
4,Dominic,246,6,2.4,2.9,9,40,Calvert-Lewin,1166,2,1,4,22,0,0,0,3,0,0,2,89,138.4,122.4,409,66.4,15,5.9,0.72,6.62,23.13,276,28,202,25,73,20,190,24,0.46,0,0.06,0.52,1.79,1.7,65,22,209,24,96,19,0.31
2,João,346,6,4.3,5.9,13,73,Cancelo,1273,2,2,6,16,0,0,0,3,1,0,10,304,277,266.4,276,81.2,16,0.83,1.53,2.36,13.34,205,77,116,25,113,12,150,37,0.06,0,0.11,0.17,0.94,1.13,61,5,28,3,59,20,0.42
4,Michail,523,6,2.5,1.7,19,84,Antonio,1822,5,3,5,29,0,0,0,2,0,0,4,222,305.8,209,579,109.1,21,6.69,0.58,7.27,29.47,185,18,144,15,45,14,100,16,0.33,0,0.03,0.36,1.46,1.43,55,20,199,22,133,27,0.25
3,Morgan,447,6,3.9,4.2,16,145,Gibbs-White,3151,5,12,8,61,0,0,0,6,0,0,11,479,611.4,980.2,628,221.8,36,6.77,6.06,12.83,57.88,68,33,10,8,38,27,23,16,0.19,0,0.17,0.36,1.65,1.74,71,42,57,24,79,27,0.23
3,Bruno,406,6,3.3,3.5,15,107,Bruno G.,2727,4,5,12,25,0,0,0,7,0,0,5,438,630.8,646.1,286,156.6,32,2.82,3.72,6.54,29.82,64,29,34,28,108,71,54,39,0.09,0,0.12,0.21,0.98,0.83,69,41,110,46,84,29,0.4
4,Danny,535,6,2.8,1.2,19,97,Ings,1579,8,2,5,26,0,0,0,4,0,0,13,317,412.2,207.1,620,123.7,15,8.43,1.27,9.7,26.29,137,13,146,16,39,12,82,13,0.48,0,0.07,0.55,1.5,1.48,59,21,168,19,147,30,0.28
4,Danny,154,6,2.9,1.2,5,91,Welbeck,1844,6,5,6,28,0,0,0,0,0,0,5,296,378.2,390.6,782,155.4,21,8.59,1.65,10.24,26.45,158,14,81,5,25,10,57,10,0.42,0,0.08,0.5,1.29,1.37,54,19,154,17,157,32,0.29
3,Jacob,55,6,3.9,2.4,2,135,J.Ramsey,2634,6,8,11,33,1,0,0,5,0,0,13,470,653.4,537.8,456,164.7,31,5.07,2.89,7.96,40.5,58,24,47,39,62,44,46,34,0.17,0,0.1,0.27,1.38,1.13,73,44,58,25,104,37,0.38
3,Lucas,539,6,3.5,1.6,19,98,L.Paquetá,2154,4,5,6,39,0,0,0,5,0,0,8,395,504.4,471.9,474,145.4,27,4.39,2.62,7.01,33.84,100,45,57,48,58,41,64,47,0.18,0,0.11,0.29,1.41,1.63,72,43,98,42,137,51,0.25
3,Youri,58,6,2.8,1.2,2,86,Tielemans,2341,3,3,6,49,0,0,1,4,0,0,6,461,541.8,486.9,191,122.1,27,2.5,2.99,5.49,45.82,87,39,56,47,150,97,85,59,0.1,0,0.11,0.21,1.76,1.88,62,36,169,68,149,53,0.23
3,Joelinton Cássio,416,6,3.6,1.2,15,115,Joelinton,2660,6,5,11,26,0,0,0,12,0,0,10,458,603.4,413.1,655,167.3,30,7.11,1.9,9.01,32.27,70,34,72,58,34,23,44,33,0.24,0,0.06,0.3,1.09,0.88,66,39,83,34,151,55,0.37
3,Saïd,525,6,3,1.2,19,106,Benrahma,2059,6,3,6,32,0,0,0,0,0,0,5,360,517.4,640.4,669,182.7,22,7.04,3.28,10.32,32.76,95,43,35,29,33,22,40,29,0.31,0,0.14,0.45,1.43,1.4,64,38,141,58,153,56,0.26
4,Gianluca,541,6,2.6,0.3,19,41,Scamacca,921,3,0,3,12,0,0,0,3,0,0,7,110,151.8,160.7,312,62,11,2.42,0.51,2.93,11.41,267,26,176,20,100,26,198,26,0.24,0,0.05,0.29,1.11,1.17,68,23,189,21,300,58,0.29
3,Brennan,450,6,3.2,1,16,122,Johnson,2930,8,5,7,54,0,0,2,6,0,0,15,384,480.6,374.4,733,158.1,33,8.39,2,10.39,53.79,109,50,84,64,26,16,53,38,0.26,0,0.06,0.32,1.65,1.66,74,45,121,49,176,61,0.22
3,Allan,426,6,2.6,0.9,15,66,Saint-Maximin,1109,1,6,4,14,0,0,0,1,0,0,4,240,284.8,397.4,381,106.5,12,1.6,2.59,4.19,13.91,198,88,78,62,83,57,106,69,0.13,0,0.21,0.34,1.13,1.14,63,37,188,75,184,65,0.32
3,Granit,30,6,4.1,0.7,1,153,Xhaka,2992,7,8,13,35,0,0,0,4,0,0,15,634,715,675.5,556,194.8,36,4.65,3.89,8.54,36.52,40,17,32,26,47,32,33,24,0.14,0,0.12,0.26,1.1,1.05,57,34,43,20,212,71,0.39
3,Christian,379,6,3.7,0.5,14,103,Eriksen,2046,1,9,13,25,0,0,0,3,0,0,8,426,425.4,575.2,344,134.4,25,4.79,3.49,8.28,26.02,130,58,39,32,92,62,71,53,0.21,0,0.15,0.36,1.14,1.1,56,33,76,32,256,80,0.57
3,Emiliano,35,6,3.1,0.4,2,117,Buendia,2404,5,3,11,34,0,0,0,0,0,0,8,370,441.6,559.9,582,158.5,27,6.32,3.95,10.27,36.65,120,54,42,35,42,29,52,37,0.24,0,0.15,0.39,1.37,1.27,67,40,128,53,269,84,0.41
3,Philippe,38,6,1.6,0.4,2,32,Coutinho,777,1,0,3,9,0,0,0,3,0,0,1,98,119.2,152.5,218,48.8,7,1.37,0.65,2.02,8.11,285,124,179,112,138,90,232,110,0.16,0,0.08,0.24,0.94,1.04,58,35,305,132,276,87,0.35
3,Michael,236,6,3.6,0.4,8,132,Olise,2743,2,11,8,38,0,0,0,2,0,0,15,517,652.4,1115,484,225.6,31,2.87,6.42,9.29,37.03,60,25,7,5,57,40,21,14,0.09,0,0.21,0.3,1.21,1.25,76,47,84,35,279,89,0.26
2,Luke,398,5.5,4,35.3,14,124,Shaw,2552,1,4,12,35,0,0,0,8,0,0,20,626,572.8,547.7,118,124.2,30,1.09,2.9,3.99,37.85,77,23,44,7,200,56,80,12,0.04,0,0.1,0.14,1.33,1.23,86,7,47,7,6,2,0.42
1,Ederson,352,5.5,3.5,14.6,13,121,Ederson M.,3150,0,1,11,32,0,0,0,3,0,46,8,581,508.4,13.1,0,52.1,35,0,0.22,0.22,28.08,98,14,330,5,568,67,221,14,0,1.31,0.01,0.01,0.8,0.91,89,3,94,19,27,4,0.31
1,Nick,424,5.5,4.2,13.6,15,157,Pope,3261,0,0,14,32,0,2,0,3,1,87,14,678,709.6,20,0,72.9,37,0,0.01,0.01,39.44,41,11,315,4,566,65,175,10,0,2.4,0,0,1.09,0.88,84,1,33,7,33,5,0.39
2,John,368,5.5,4,20.4,13,93,Stones,1844,2,2,7,17,1,0,0,2,0,0,13,422,396,164.1,135,69.6,21,1.03,0.97,2,13.56,149,55,173,45,185,42,184,55,0.05,0,0.05,0.1,0.66,0.83,83,6,46,6,17,7,0.34
1,Alisson,291,5.5,4.4,9.6,11,162,Alisson,3330,0,1,14,43,0,1,0,1,0,107,15,824,966.4,10.1,0,97.6,37,0,0.02,0.02,50.02,11,4,334,7,567,66,121,4,0,2.89,0,0,1.35,1.16,87,2,24,5,43,8,0.38
2,Reece,206,5.5,2.8,19.1,7,44,James,1242,1,2,2,17,0,0,0,4,0,0,5,286,292.2,358.2,153,80.4,14,1.06,2.93,3.99,14.11,192,70,89,17,172,33,151,38,0.08,0,0.21,0.29,1.02,1.23,122,11,167,59,19,8,0.14
3,Julio,130,5.5,2.9,10.8,5,57,Enciso,794,4,3,4,12,0,0,0,1,0,0,7,189,262.8,177.5,399,83.8,7,3.93,1.18,5.11,14.76,213,96,164,104,79,55,144,84,0.45,0,0.13,0.58,1.67,1.36,134,85,153,63,39,12,0.45
2,Benjamin,29,5.5,4.1,10.5,1,156,White,3054,2,5,15,35,0,0,0,5,0,0,12,734,655.4,492.5,159,130.8,36,1.25,3.6,4.85,37.23,57,16,55,8,167,31,73,8,0.04,0,0.11,0.15,1.1,1.03,109,10,41,5,41,13,0.44
4,Carlton,326,5.5,0,3.5,12,0,Morris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,66,569,66,569,66,569,66,0,0,0,0,0,0,99,29,569,66,86,15,0
4,João Pedro,135,5.5,0,3.3,5,0,João Pedro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,70,575,70,575,70,575,70,0,0,0,0,0,0,135,36,575,70,89,16,0
2,Rúben,350,5.5,3.1,6.7,13,80,Rúben,1997,0,0,9,16,0,0,0,3,0,0,1,432,416.8,83.7,124,62.5,22,1.36,0.34,1.7,17.36,133,48,247,84,194,51,195,62,0.06,0,0.02,0.08,0.78,0.72,102,8,126,39,56,19,0.41
3,Declan,540,5.5,3.1,5.1,19,116,Rice,3272,4,3,9,50,0,0,1,5,0,0,12,622,789,539.3,226,155.5,36,2.4,1.85,4.25,48.28,25,11,46,38,134,86,56,41,0.07,0,0.05,0.12,1.33,1.38,115,71,127,52,72,23,0.25
